Starbucks - SM North Edsa|14.656|121.0315|True|North Ave, Quezon City|00:00-23:59|False
The Coffee Bean & Tea Leaf - Trinoma|14.6534|121.0337|True|Trinoma Mall, Quezon City|00:00-23:59|False
Bo's Coffee - SM North|14.6565|121.03|True|Quezon City|00:00-23:59|False
Boss Kopeee|14.6516|121.036|True|Cebu City|00:00-23:59|False
Coffee Shop from Link|14.6535163649188|121.038516364919|True|Address extracted from link|00:00-23:59|False
Boos kopeee|10.3157|123.8854|True|10.3157, 123.8854|00:00-23:59|False
Kape ni Bai|0|0|True|Fuente Osmena Circle, Cebu City|00:00-23:59|False
Cooffeetol|0|0|True|Capitol, Cebu City|00:00-23:59|False
Banawa Coffee|14.6516|121.036|True|Banawa|00:00-23:59|False
123 COFEE|10.3175|123.905|True|Ayala |00:00-23:59|False
ARVY KAFE|10.3297|123.9061|True|Cebu IT Park, Cebu City|00:00-23:59|False
McDonalds Fuente Branch|10.2994827253662|123.881594946869|True|Osmena Circle Fuente Cebu City|00:00-23:59|False
